Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",37225,1045810,1993
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30285,320193,1977
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",34486,789019,1975
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",38674,1018724,1994
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",38810,1652044,1998
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",41732,1652044,1998
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",41631,1326801,2004
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",41767,1730168,1961
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",44186,1318605,2003
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",40225,1067983,1839
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",30194,104169,1962
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",25933,59478,1876
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",27575,19617,2000 (1799 / 1871)
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",20883,34088,1999
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",40168,1403161,1958
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Eden Prairie, Minnesota",34516,731766,1977
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",39647,1141391,1966
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",34243,909832,1976
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",32751,1341439,1977
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",40532,1065280,1997
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",34604,723125,1978
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",41274,1551152,2013 (1888)
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"Houston, Texas",20883,93410,1879
PLTR,Palantir Technologies,Information Technology,Application Software,"Aventura, Florida",45558,1321655,2003
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",20883,80424,1837
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",32233,354950,1978
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",27941,70858,1998 (1923 / 1874)
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",20883,40545,1892
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",20883,21344,1886
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",20883,18230,1925
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",42814,2488,1969
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",34304,858877,1984
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",20883,310158,1891
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",20883,101829,1922
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",39538,1413329,2008 (1847)
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",34774,6951,1967
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",34179,895421,1935
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",41089,707549,1980
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",27941,72971,1852
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",43661,1283699,1994
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",37459,886982,1869
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",20883,51143,1911
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",25749,63908,1940
