Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",40848,1524472,2011
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",42250,100517,1967
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,"Greenwich, Connecticut",45897,1381197,1977
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",37258,1000697,1958
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",42285,1442145,1971
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",42976,1478242,1982
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",42621,1091667,1993
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",35762,1031296,1997
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",38231,1116132,2017
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",42191,1637459,2015 (1869)
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",37165,922224,1920
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",42478,1403568,1990
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",42374,1140536,2016
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",20883,45012,1919
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",31259,1130310,1882
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",31351,29905,1955
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",42310,1645590,2015
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",43374,84839,1948
ES,Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut",40018,72741,1966
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",20883,827052,1886
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",36768,1090012,1971
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",37938,875045,1978
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",42433,1410636,1886
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",39031,1136893,1968
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",41663,916365,1938
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",35795,29989,1986
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",44917,1022671,1993
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",43963,1093557,1999
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",43804,11544,1967
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",35825,73124,1889
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",35782,20286,1950
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",45740,895126,1989
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",45278,898293,1966
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",38534,16918,1945
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",45217,48898,1888
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",44459,79282,1939
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",35600,33185,1899
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",38629,920760,1954
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",39092,915912,1978
ARES,Ares Management,Financials,Asset Management & Custody Banks,"Los Angeles, California",46002,1176948,1977
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",42398,759944,1828
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",42619,1037646,1945
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",30802,822416,1956
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",43556,1751788,2019 (1897)
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",20883,79879,1883
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",42367,313927,1847
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",37228,906107,1969
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",20883,811156,1886
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",20883,40704,1856
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",39622,858470,2021 (1989)
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",34850,940944,1938
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",45201,1967680,2023
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",36035,1281761,1971
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",42326,1601712,2003
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,"Wilmington, Delaware",45964,2058873,2025
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",40896,935703,1986
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",43269,1383312,1962
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",43822,1757898,1985
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",34850,60086,1959
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",45000,1996862,1818
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",43686,1336920,1969
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",45481,2005951,1934
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",44733,1097864,1999
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Reston, Virginia",38749,1014473,1995
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,"San Francisco, California",45740,719955,1956
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",36832,1111711,1912
LH,Labcorp,Health Care,Health Care Services,"Burlington, North Carolina",38292,920148,1978
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",37602,1022079,1967
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",34394,91576,1825
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",38574,100493,1935
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",41157,1489393,2007
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",41253,49071,1961
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",42459,1071739,1984
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",43271,1175454,2000
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",42485,1123360,2000
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",39143,1043277,1905
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",20883,51434,1898
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",42979,1034054,1989
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",44398,1682852,2010
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",39115,1037038,1967
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",34516,92380,1967
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",44823,1057352,1987
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",44914,1274494,1999
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",42186,728535,1961
