Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",37110,1136869,1927
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",42552,352541,1917
LII,Lennox International,Industrials,Building Products,"Richardson, Texas",45649,1069202,1895
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",27394,47217,1939 (2015)
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",39687,1324404,1946
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",43973,105770,1923
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",42552,1659166,2016
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",29129,106535,1900
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",37700,63754,1889
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",42459,859737,1985
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",43103,1501585,2011
PODD,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts",45000,1145197,2000
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",30986,9389,1880
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",28855,217346,1923
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",41731,920522,1971
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",44217,864749,1978
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",38100,1792044,1961
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",40532,1048695,1996
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",44004,860731,1966
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",39381,52988,1947
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",44823,1687229,2012
CDW,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois",43731,1402057,1984
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",27029,40987,1925
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,"New York City, New York",45740,1973266,2023
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",38811,879101,1958
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",42706,912595,1977
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Schaffhausen, Switzerland",41267,1521332,1994
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",44607,72331,1935
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",41183,77360,1966
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",42636,711404,1958
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",45369,910521,1973
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Northbrook, Illinois",43686,832101,1988
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",39275,1086222,1998
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",42796,910606,1963
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",36340,764478,1966
TTD,Trade Desk (The),Communication Services,Advertising,"Ventura, California",45856,1671933,2009
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",25293,21076,1913
