Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",45420,1692819,2016
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",20883,797468,1920
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",39706,815556,1967
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",29767,277135,1927
COIN,Coinbase,Financials,Financial Exchanges & Data,"New York City, New York",45796,1679788,2012
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",43619,1755672,2019
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",20883,72903,1909
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",41446,1555280,1952
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",35577,721371,1971
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",41902,1067701,1997
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",44846,1389170,2005
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",44277,1413447,1953
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",43437,1539838,2007
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",41540,1037868,1930
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",20883,1109357,2000
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",39743,1120193,1971
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",44239,1280452,1997
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",37459,712515,1982
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",43924,1783180,"2020 (1915, United Technologies spinoff)"
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",20883,37996,1903
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",42740,874716,1983
